1    12944988001    [11, 1176817091]    [1, 0, 0, 1]
2    13008284641    [11, 1182571331]    [1, 0, 0, 1]
3    13721231161    [11, 1247384651]    [1, 0, 0, 1]
4    13954384081    [11, 1268580371]    [1, 0, 0, 1]
5    21477807241    [11, 1952527931]    [1, 0, 0, 1]
6    21487500001    [11, 1953409091]    [1, 0, 0, 1]
7    21493281601    [11, 1953934691]    [1, 0, 0, 1]
8    21499583281    [11, 1954507571]    [1, 0, 0, 1]
9    21610022401    [11, 1964547491]    [1, 0, 0, 1]
10    21933502921    [11, 1993954811]    [1, 0, 0, 1]
11    22373474761    [11, 2033952251]    [1, 0, 0, 1]
12    22515761521    [11, 2046887411]    [1, 0, 0, 1]
13    34377925681    [11, 3125265971]    [1, 0, 0, 1]
14    34984811521    [11, 3180437411]    [1, 0, 0, 1]
15    35091604801    [11, 3190145891]    [1, 0, 0, 1]
16    51540652801    [11, 4685513891]    [1, 0, 0, 1]
17    51564787681    [11, 4687707971]    [1, 0, 0, 1]
18    52387554241    [11, 4762504931]    [1, 0, 0, 1]
19    60131292001    [11, 5466481091]    [1, 0, 0, 1]
20    60143166721    [11, 5467560611]    [1, 0, 0, 1]
21    60302224081    [11, 5482020371]    [1, 0, 0, 1]
22    60726074761    [11, 5520552251]    [1, 0, 0, 1]
23    61220849041    [11, 5565531731]    [1, 0, 0, 1]
24    64433890081    [11, 5857626371]    [1, 0, 0, 1]
25    64459909921    [11, 5859991811]    [1, 0, 0, 1]
26    73164636721    [11, 6651330611]    [1, 0, 0, 1]
27    73204387201    [11, 6654944291]    [1, 0, 0, 1]
28    77403911761    [11, 7036719251]    [1, 0, 0, 1]
29    77428416241    [11, 7038946931]    [1, 0, 0, 1]
30    77752389121    [11, 7068399011]    [1, 0, 0, 1]
31    77780275441    [11, 7070934131]    [1, 0, 0, 1]
32    78385975921    [11, 7125997811]    [1, 0, 0, 1]
33    85909267081    [11, 7809933371]    [1, 0, 0, 1]
34    86443776001    [11, 7858525091]    [1, 0, 0, 1]
35    86775849721    [11, 7888713611]    [1, 0, 0, 1]
36    86893779841    [11, 7899434531]    [1, 0, 0, 1]
37    103411702801    [11, 9401063891]    [1, 0, 0, 1]
38    104222401921    [11, 9474763811]    [1, 0, 0, 1]
39    124568327521    [11, 11324393411]    [1, 0, 0, 1]
40    128872617841    [11, 11715692531]    [1, 0, 0, 1]
41    137634537601    [11, 12512230691]    [1, 0, 0, 1]
42    137739042001    [11, 12521731091]    [1, 0, 0, 1]
43    137753464321    [11, 12523042211]    [1, 0, 0, 1]
44    138296481961    [11, 12572407451]    [1, 0, 0, 1]
45    141734102521    [11, 12884918411]    [1, 0, 0, 1]
46    141735166441    [11, 12885015131]    [1, 0, 0, 1]
47    141736148521    [11, 12885104411]    [1, 0, 0, 1]
48    141776709481    [11, 12888791771]    [1, 0, 0, 1]
49    141872780401    [11, 12897525491]    [1, 0, 0, 1]
50    141965325601    [11, 12905938691]    [1, 0, 0, 1]
51    142094851921    [11, 12917713811]    [1, 0, 0, 1]
52    142127228881    [11, 12920657171]    [1, 0, 0, 1]
53    142337956321    [11, 12939814211]    [1, 0, 0, 1]
54    142581892321    [11, 12961990211]    [1, 0, 0, 1]
55    142814554201    [11, 12983141291]    [1, 0, 0, 1]
56    150323856001    [11, 13665805091]    [1, 0, 0, 1]
57    150324531841    [11, 13665866531]    [1, 0, 0, 1]
58    150345072361    [11, 13667733851]    [1, 0, 0, 1]
59    150410297521    [11, 13673663411]    [1, 0, 0, 1]
60    150445418761    [11, 13676856251]    [1, 0, 0, 1]
61    163212243601    [11, 14837476691]    [1, 0, 0, 1]
62    163307748241    [11, 14846158931]    [1, 0, 0, 1]
63    163401802201    [11, 14854709291]    [1, 0, 0, 1]
64    168125853841    [11, 15284168531]    [1, 0, 0, 1]
65    168351346801    [11, 15304667891]    [1, 0, 0, 1]
66    180393033601    [11, 16399366691]    [1, 0, 0, 1]
67    180399872521    [11, 16399988411]    [1, 0, 0, 1]
68    180470253601    [11, 16406386691]    [1, 0, 0, 1]
69    180484067401    [11, 16407642491]    [1, 0, 0, 1]
70    180509449681    [11, 16409949971]    [1, 0, 0, 1]
71    180631029601    [11, 16421002691]    [1, 0, 0, 1]
72    181045388161    [11, 16458671651]    [1, 0, 0, 1]
73    189147013561    [11, 17195183051]    [1, 0, 0, 1]
74    189298915201    [11, 17208992291]    [1, 0, 0, 1]
75    193275646201    [11, 17570513291]    [1, 0, 0, 1]
76    193335475201    [11, 17575952291]    [1, 0, 0, 1]
77    193594204441    [11, 17599473131]    [1, 0, 0, 1]
78    193952984401    [11, 17632089491]    [1, 0, 0, 1]
79    194384473921    [11, 17671315811]    [1, 0, 0, 1]
80    194409208081    [11, 17673564371]    [1, 0, 0, 1]
81    194478813001    [11, 17679892091]    [1, 0, 0, 1]
82    202211049601    [11, 18382822691]    [1, 0, 0, 1]
83    202228386481    [11, 18384398771]    [1, 0, 0, 1]
84    202645323001    [11, 18422302091]    [1, 0, 0, 1]
85    207241398001    [11, 18840127091]    [1, 0, 0, 1]
86    214748817481    [11, 19522619771]    [1, 0, 0, 1]
87    214855222681    [11, 19532292971]    [1, 0, 0, 1]
