[19687, 5767999]    True    [0, 1]
[20749, 809173]    True    [2, 0]
[21313, 724609]    True    [4, 4]
[26119, 696481]    True    [0, 1]
[27631, 1657801]    True    [0, 1]
[28789, 460609]    True    [2, 1]
[30223, 846217]    True    [0, 1]
[30517, 1312189]    True    [2, 1]
[33391, 400681]    True    [0, 1]
[38371, 1227841]    True    [1, 1]
[38371, 3107971]    True    [1, 1]
[40627, 325009]    True    [1, 1]
[43651, 392851]    True    [1, 1]
[45307, 226531]    True    [1, 1]
[45497, 318473]    True    [2, 3]
[45533, 273193]    True    [2, 2]
[46327, 3011191]    True    [0, 1]
[49171, 245851]    True    [1, 1]
[49207, 393649]    True    [0, 1]
[49409, 592897]    True    [6, 8]
[49603, 1636867]    True    [1, 1]
[50221, 5005261]    True    [2, 1]
[50497, 353473]    True    [4, 5]
[51859, 207433]    True    [1, 1]
[52051, 624601]    True    [1, 1]
[52501, 420001]    True    [2, 0]
[52711, 474391]    True    [0, 1]
[53299, 213193]    True    [1, 1]
[53507, 1979723]    True    [1, 0]
[53549, 321289]    True    [2, 2]
[53773, 699037]    True    [2, 1]
[53791, 215161]    True    [0, 1]
[54139, 216553]    True    [1, 1]
[54751, 219001]    True    [0, 1]
[54767, 657193]    True    [0, 0]
[54941, 4010621]    True    [2, 2]
[55901, 2403701]    True    [2, 2]
[56009, 672097]    True    [2, 3]
[56197, 393373]    True    [2, 1]
[56477, 1016569]    True    [2, 2]
[57571, 287851]    True    [1, 1]
[57793, 231169]    True    [4, 5]
[57991, 231961]    True    [0, 1]
[58189, 407317]    True    [2, 0]
[58237, 1455901]    True    [2, 1]
[58937, 766169]    True    [2, 3]
[58963, 471697]    True    [1, 1]
[59119, 295591]    True    [0, 1]
[60427, 483409]    True    [1, 1]
[60943, 696481]    True    [0, 1]
[61471, 245881]    True    [0, 1]
[61751, 802751]    True    [0, 0]
[62743, 313711]    True    [0, 1]
[63079, 252313]    True    [0, 1]
[63541, 254161]    True    [2, 1]
[64891, 160681]    True    [1, 1]
[65323, 1807243]    True    [1, 1]
[65381, 457661]    True    [2, 2]
[66629, 399769]    True    [2, 2]
[67933, 271729]    True    [2, 1]
[68611, 274441]    True    [1, 1]
[69067, 253243]    True    [1, 1]
[69557, 417337]    True    [2, 2]
[69931, 186481]    True    [1, 1]
[70309, 703081]    True    [2, 1]
[70321, 210961]    True    [2, 1]
[70957, 1064341]    True    [2, 0]
[71011, 3763531]    True    [1, 1]
[71419, 285673]    True    [1, 1]
[72091, 264331]    True    [1, 1]
[72109, 360541]    True    [2, 1]
[72227, 247633]    True    [1, 0]
[72461, 434761]    True    [2, 2]
[72551, 174121]    True    [0, 0]
[72859, 655723]    True    [1, 1]
[72997, 218989]    True    [2, 1]
[73291, 1832251]    True    [1, 1]
[74047, 3850393]    True    [0, 1]
[74413, 372061]    True    [2, 1]
[75403, 603217]    True    [1, 1]
[75659, 191137]    True    [1, 0]
[76213, 381061]    True    [2, 0]
[76333, 305329]    True    [2, 0]
[76651, 12034051]    True    [1, 1]
[77243, 1853809]    True    [1, 0]
[77731, 932761]    True    [1, 1]
[78031, 390151]    True    [0, 1]
[78079, 390391]    True    [0, 1]
[78139, 312553]    True    [1, 1]
[78583, 392911]    True    [0, 1]
[78901, 394501]    True    [2, 0]
[79039, 316153]    True    [0, 1]
[79549, 1909153]    True    [2, 1]
[79901, 2956301]    True    [2, 2]
[81421, 244261]    True    [2, 0]
[82837, 220897]    True    [2, 0]
[83077, 415381]    True    [2, 0]
[83701, 5005261]    True    [2, 1]
[84181, 673441]    True    [2, 0]
[84919, 339673]    True    [0, 1]
[84991, 203977]    True    [0, 1]
[85667, 146857]    True    [1, 0]
[85909, 2061793]    True    [2, 0]
[85933, 140617]    True    [2, 0]
[86083, 688657]    True    [1, 1]
[86311, 119191]    True    [0, 1]
[86851, 347401]    True    [1, 1]
[86869, 6862573]    True    [2, 0]
[87133, 1568377]    True    [2, 1]
[87221, 1657181]    True    [2, 2]
[87679, 438391]    True    [0, 1]
[87797, 526777]    True    [2, 2]
[88261, 176521]    True    [2, 0]
[88741, 266221]    True    [2, 0]
[89101, 302941]    True    [2, 0]
[89269, 178537]    True    [2, 1]
[89611, 160681]    True    [1, 1]
[89689, 164429]    True    [2, 2]
[89767, 4039471]    True    [0, 1]
[89959, 1439329]    True    [0, 1]
[89983, 359929]    True    [0, 1]
[90397, 632773]    True    [2, 0]
[90481, 325729]    True    [3, 2]
[90511, 142231]    True    [0, 1]
[91159, 3281689]    True    [0, 1]
[91237, 182473]    True    [2, 1]
[92227, 737809]    True    [1, 1]
[92237, 553417]    True    [2, 2]
[92311, 240007]    True    [0, 1]
[93253, 466261]    True    [2, 0]
[93701, 5715701]    True    [2, 2]
[94291, 471451]    True    [1, 1]
[94447, 755569]    True    [0, 1]
[94951, 126601]    True    [0, 1]
[95083, 760657]    True    [1, 1]
[95989, 671917]    True    [2, 0]
[96749, 1160977]    True    [2, 2]
[97003, 388009]    True    [1, 1]
[97327, 129769]    True    [0, 1]
[97381, 292141]    True    [2, 1]
[97549, 390193]    True    [2, 1]
[97651, 110251]    True    [1, 1]
[98773, 395089]    True    [2, 0]
[98953, 494761]    True    [2, 2]
[99877, 199753]    True    [2, 1]
[100391, 1204681]    True    [0, 0]
[100741, 302221]    True    [2, 0]
[100981, 235621]    True    [2, 1]
[101173, 3844537]    True    [2, 1]
[101701, 305101]    True    [2, 0]
[102181, 204361]    True    [2, 1]
[102763, 274033]    True    [1, 1]
[102829, 205657]    True    [2, 1]
